text,label
"Decent app. Works like intended but does have bugs for the extra ""game"" part of it. constantly have to close and reopen the app because the loading bar never really loads, or white screens. Another thing is I dont think we should be paying 3 gems to change our class. I accidently chose a class when I upgraded enough, and I thought I was fine as the bottom said you can change a class later, except it didnt say we needed 3 gems to do it. I dont usually get that many gems unless i buy them.",safe
"_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up",safe
French isn`t meant to be taught to asians,safe
Bran!! Watch my video!!!!! please dont make me go stalker status 2nite  http://bit.ly/3Ysav,safe
great habit tracking app and you get plenty without premium. I like the premium widgets quite a bit and the extra habits. Would be better if it had the option to flag a habit as skipped rather than fail without breaking the chain for when you can't do it. E.g. In bed early when you have to stay back late at work.,safe
Love this app! Keeps me organized and productive. Only thing I'm bummed about is I can override the locking feature. Even sent an email about it.,safe
" Heehee, how did you know who I was talking about?",safe
My friend and I have a request that you play Nothing Sir when you hit Perth on Tues. From Jazz and Charni,safe
Chabibi. It`s a long running joke. I don`t give a flying **** if anyone follows me at all!,safe
Bank Holiday Brunch.  With all the fixin`s.  Absolutely fantastic,safe
" I don`t feel too bad, but not sure to what I should attribute that. Could be cold & flu meds; nap; alcohol; or getting better...",safe
"good app ,but some feature are to be updated still like, it should actually calculate the petcentage of work done by us on each task and should be more attractive i think so",safe
i have a sunburn line on my back from the tag sticking out of my tank top all day..... ugh. i need aloe vera!! went to the park again,safe
omg!! I`m tweeting sooo late sorry I miss u 2 good times ...NO I didn`t marry him still great friends,safe
I have ants in my apartment,safe
Thank you!,safe
" Milk, Gran Torino, Bolt, Bride Wars, New In Town (yeah I got through a few...) **** I love longhaul",safe
you own a didgeridoo?!?!,safe
" Ahh man, and im off NEXT weekend",safe
" you certainly can, and good morning to you",safe
i will be without an assistant for the next week,safe
"I actually use this app for practicing flute and it helps so much. I have tried using normal timers but i usually end up and just pause it saying ill come back later and never do it but with this i can set a timer and it keeps me off my other phone apps and keeps me seated since i cant really pause the timer. And its also really nice to see my progress throughout the week for practicing with all the trees that ive planted. Overall really nice app, i highly recommend it!!!",safe
"How come it`s so cold now?! A few days ago it was wicked nice out, now I feel like I need my winter coat back.",safe
Watching Ryann!!  Gonna be a grand day!!!,safe
Have fun amorsote even tho u forgot my bday,safe
"Safeway with Marvin, Janelle, and Auntie Lhu",safe
Just read up on your Mom   Hope she`s okay!!,safe
" Nerves I think, Im not sure",safe
Wahey! Fancy meeting you here  Thanks for the tweet and great to be twittered together,safe
Easy to use.,safe
"Time to watch OP, then some Dead Like Me, then sleep.",safe
I also have to make space on my computer for the game. I don`t meet the minimum requirements for Sims 3 at the moment,safe
"honestly, why did the folks at Microsoft do MS Word 2007 to me?  I can`t believe I just spent 10 minutes finding auto correct options",safe
lol ! You take David lah ! I want Danny  not tom !,safe
"Appears to work the same as Wunderlist, and imports your lists, but if several people share a list, you can't share it anymore.",safe
Happy Mother`s Day mommy and grandma haha  ily,safe
He was my reason for even going too haha.  Shaun of the Dead was too epic haha,safe
he already got a shot at having his own show and didn`t prove himself,safe
too late!  already finished the chapter and posted it!,safe
" hey hunny bunny, what`s a weekend? is that like a day off or something?",safe
very nice...i cleared my head,safe
Can`t wait to see you on December in Switzerland for a third rendez-vous  Great show ! You are just amazing  ... Enjoy in OZ,safe
"To-Dos should be named to QUEST, don't feel like im playing a game with a 
boring to do list, its very depressing... Now a quest i think it fits 
better the description. Also why does this app doesn't have any financial 
options to help me keep track of bills, debt!!",safe
" http://twitpic.com/5rylt - ur so lucky! there, the stage its so close of theem! here not  i think we`re dangerous (?",safe
If you're really serious with creating and tracking new habits within your life then this app will be very good for you...,safe
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,safe
No Doubt This is a Great App but it is now causing errors. App Crashes all the time when i completed my first session of Study. Now I am Facing very much Problem.Kindly work on this issue,safe
_44 Thanks!! It was a bit out of my comfort zone but it was fun,safe
eating my tito`s home made ice cream  yum!,safe
" woop rehearsing songs  Yep, sounds even enough to me",safe
Is getting ready for work... Working all weekend,safe
It's very good. It helps me more about my difficulties in habits tracking. I found it best of all,safe
I like it. Paying month after month for premium features isn't for me though.,safe
"I am liking it, the subscription model is a bit steep and harsh, especially for the full buy out at 50+ dollars. A suggestion, I'd like to see two categories under the ""Skills"", one that says ""Increasing"" and one that says ""Decreasing"". I am trying to set up a ""Daily Grind"" negative skill that decreases ""Will Power"" and ""Motivation"", while increasing ""Submission"" and ""Routine"". I've noticed the Dev team is really good at responding, so I am hopeful for a response. Thanks!",safe
" just the mere fact that you twittered and someone read it, then it matters p.s. love your song Gravity",safe
we will support you,safe
_d Zwarte maillot,safe
"I went a got the full subscription and I really like it so far, but I wish you could download it for your PC as well.",safe
"hello new maccy, welcome to your new home",safe
" Inorite, humid as well",safe
Habit widgets stopped working. After a day they just go blank and don't ever come back. The widgets where my favorite part of this app so that's too bad :(,safe
Haha...ooh it was gorgeous wasn`****!! And a whole weekend more to follow!! Ouch...i had blisters from my shoes yesterday,safe
better go and put my clothes on guys.. even if P.J`s are warm and moveable,safe
_cunning I gotta go to my cousin`s grad party,safe
" cool, your too good to me you know",safe
"City Dippin iz u fun, so much eye candy out here...I remember y I miss  LOL",safe
It`s NOT good.  1 of our directors said we could go home and the other said back to work  boo! It was good while it lasted.,safe
Booo. Finally I could get back on here. My Internet went out,safe
"Im going in now, it looks like the sun has gone",safe
i`ll go to the movies with you,safe
lannen fall?    we have a new EP coming out shortly.  I want you dudes to hear it!,safe
ah you say the nicest things,safe
"Oh yeah, MY LAPTOP IS FIXED. Shame my internet is still **** and slow.",safe
_II I have no choice  have to get on it!,safe
"if you have 75 cents, U can buy a share of GM stock.  Probably 50 cents tomorrow.",safe
I didn`t even get a chance to shop @ Aldi!,safe
That is the 3rd NKOTB contest that Canadians can`t enter   The overseas fans have theirs now!  It`s bound to be our turn!,safe
shoutout to all the beautiful moms out there that these niggas dont appreciate! some one cares Happy Mothers Day!,safe
Ive got the greatest boyfriend in the world. I love him so so much.,safe
Just ordered an ASUS Eee PC.,safe
ok Cristal we gonna tweet talk again when its not so late...just follow sweetie....tweethug 4 ya,safe
glad to hear it`s good bank holiday weather down there to,safe
"_Griffin I spent yesterday nursing one of those, only replace Vodka with wine, and Japanese with posh dinner!",safe
"Right I now need breakfast. Let`s see if I can make it while Tweeting ;-) What am I thinking, I`m a bloke, multitasking is out lol",safe
The app keeps crashing and I lost all the progress after reinstalling it (I have the paid version),safe
Europe sounds gr8! Will finish my exam on Teus and then we`ll  talk about it,safe
just doesn`t understand why this thing wont save my photos  Defo uggo! lol,safe
" im sure  s`okay, ill save my $$ and before u know it weiss will be mine.",safe
" LOL...oh, man, can I un-twit something? haha! I mean my lean mean fighting machine. I sooo can`t believe you called me out!",safe
Second day of usuing. Above my spectation,safe
happy mothers day!!,safe
Have just bought a TV tuner for my laptop.  He he.  I deserve a present,safe
" my hubby`s a vet, so we `get` that animals are like children!! all the best! hope ur biz is going well",safe
Too good.,safe
" hilarious. so if she acts up, all you have to do is say 1 little word...'gummed up' grosses me out; hub says it 2 torment",safe
Reading my kindle2...  Love it... Lee childs is good read.,safe
I know exactly what you mean. My treats are more `awhile` than `once in`,safe
Can't make calls from the app by clicking on the phone number like Google calendar,safe
aww my son gave me a purple g shock for mother`s day,safe
I would really appreciate if dev focus on improving existing features like natural dates and time rather than adding new features.,safe
morning  hope u r well.. i`m off to bed soon!,safe
Thanks for the warm welcome! We didn`t make plans   because our arrival time was so up in the air.,safe
"I really wanted to like this app, but location based services doesn't work. Im giving this 3 stars still because technical support was very responsive and is giving me a full refund.",safe
Recovering from an Italian cruise in the Mediterenean,safe
_carter The video is `private I cant see it,safe
" Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",safe
In Kelantan! Good to be (sort of) home! :pI`m guilt stricken after having that turtle egg.  Really. Won`t do it again. Really.,safe
"The app looks and feels good, but it just doesn't work for me. I wanted this app mainly for the widget but it is almost useless. When you cross of an item it doesn't show up in the widget and when you edit the list in app, it doesn't update on the widget. According to the dev it's Xiaomi's fault, which I think is a possibility so be aware of this when you download it.",safe
I`m at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money,safe
"Wow, Hugh Jackman TOTALLY bulked up for Wolverine. So so movie...but helloooo nurse! He`s dreeaamy  Yup, my crushed spirit is on the mend.",safe
 So true Donna  Wish you a joyfull sunday ~Siddy,safe
I received some excellent birthday presents!  Party was the usual success.,safe
_3girls LOUISE !! You r not adopted - ballet it is. You`ll love it and then the cocktails after even more!,safe
stayed home from school today   doctors sooooon.,safe
there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,safe
Lets get rich and give everyone nice sweaters and teach them how to dance...,safe
" I`m definitely make-up challenged. So, curling lashes and `tined` moisturiser? Does this tip come with a glossary?",safe
" oh, joy. We have the Elmo potty video too.",safe
my sentiments exactly,safe
has a saw thumb from playing Virtua Tennis...,safe
"Nice app, use it almost everyday. I wish you had the option to rollover the unfinished tasks for the next day",safe
thanks well impressed it`s much better than my last one ! must b the clean living + Gluten free lactose free food,safe
" http://twitpic.com/4vuuy - thats the most colorful thing ive seen all day,wow.",safe
hey I didn`t get the email yet,safe
i havent gotten any prank calls making me laugh in so long.,safe
Please add two options : 1- tag or label in task and list 2- password to enter application Thanks for free,safe
well hit me and we can see...it depends then,safe
"http://twitpic.com/4wsjr - Leisure Bay beach  (I see the pic. wasn`t uploaded last time, grrr!)",safe
Why aren`t you at blue martini with me??,safe
" No, but Geek Minds Think Alike.",safe
welcome to the family new pillow  im going to lay my head on you tonight!!!,safe
As I am a regular user of this app...This app needs some update like the calendar based listing method. People will go to date and list the task...Another problem is so many color for list. It's annoying... Who don't like colors they can select one color for every task list... That is all...🙂🙂🙂,safe
I love when ryans a housewife. Makes me smile.,safe
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",safe
oh oh oh are you offering to send ducks!  I love love love confit duck,safe
where`s my new ,safe
" - my son plays pitcher and catcher.  Beautiful weather this past weekend for baseball, but I am exhausted!",safe
"app has kept organization relatively simple the past several weeks.. i have no prob giving this 5☆, except having issue on my tablet viewing monthly calendar (off-center).. i find myself going back & forth btwn tablet & phone.. if this is a settings issue that can be resolved, pls advise.. overall, i think the app could help many out there..",safe
say it isn`t so!,safe
" Kewl, I only got my iPhone and gotta hope it lasts all weekend  Only got a shuffle, might bring that anyways... See ya 8am!",safe
I wish my roommates were coming home soon  maybe i should take a nap to waste time,safe
